faiss_idx,item_id,source,title,authors,category,text
277,book_278,book,Sweet Thursday,John Steinbeck,Unknown,"Doc returns to a failed Western Biological Laboratories after serving in the army during World War II to a changed Cannery Row. Mack and the Boys are still living in the Palace Flophouse, but Lee Chong has sold his general store to Joseph and Mary Rivas. Since the death of its original owner Dora, the local brothel, The Bear Flag Restaurant, is now being run by Dora's older sister Fauna, a former mission worker previously known as Flora. Under Fauna, the girls of the Bear Flag study etiquette an"
278,book_279,book,The Cherry Orchard,Anton Chekhov,Unknown,"Opens in the early morning hours of a cool day in May in the nursery of Lyubov Andreyevna Ranevskaya's ancestral estate somewhere in the provinces of Russia just after the turn of the 20th Century. Ranevskaya has been away for five years, since the death by drowning of her young son, living in France with her unnamed lover. After news that she had tried to kill herself Ranevskaya's 17-year-old daughter Anya and Anya's governess Charlotta Ivanovna have gone to fetch Ranevskaya to bring her home t"
279,book_280,book,The Human Stain,Philip Roth,"Fiction, Novel","The story is told by Nathan Zuckerman, a writer who lives quietly in New England, where Coleman Silk is his neighbor. Silk is a former classics professor and dean of faculty at nearby Athena College, a fictional institution in the Berkshires of western Massachusetts. At 71, Silk is accused of racism by two black students because of referring to them as ""spooks"". As they have never shown up in his seminar, he asks: ""Do they exist or are they spooks?"" Having never seen the students, Silk does not "
280,book_281,book,Looking for JJ,Anne Cassidy,Fiction,"The book centers around Alice Tully, a 16 year old waitress who is living in Croydon. She has a boyfriend called Frankie, and lives with a carer called Rosie. She killed her friend, Michelle, when she was 10 years old, as Jennifer Jones, and had been released from jail 6 months previously. The book follows certain parts of the story such as Alice now, Jennifer and the killing, and her new identity when the press expose her at the end of the book. There are four sections in the book: the first is"
281,book_282,book,The Green Child,Herbert Read,Fantasy,"The first and last parts of the story are told as a third-person narrative, but the middle part is written in the first person. The story begins in 1861 with the faked death of President Olivero, dictator of the South American Republic of Roncador, who has staged his own assassination. He returns to his native England, to the village where he was born and raised. On the evening of his arrival Olivero notices that the stream running through the village appears to be flowing backwards, and he deci"
282,book_283,book,The Blue World,Jack Vance,Science Fiction,"Sklar Hast, the protagonist, had achieved a measure of success and prosperity by passing his examination to be a “Hoodwink”, or semaphore tower operator – a prestigious position on the Blue World, a planet with no land at all. During the space of twelve generations, the descendants of a crashed prison ship have created a rudimentary civilization on the water-covered planet, living on huge sea plants. However, they must beware the kragen, giant, semi-intelligent squid-like predators which roam th"
283,book_284,book,The City of Trembling Leaves,Walter Van Tilburg Clark,Unknown,"The book opens over Reno, Nevada, the principal location for most of the stories. Clark describes the city as a scene, composed of several themes brought about by the physical structures of the city's districts. It is the early Twentieth Century. Reno is a bustling small town on the edge of a mountain range, with fantastic scenery all around. The vast majority of the book's elements are introduced by way of the primary character, Tim Hazard, and it is with him that the human narrative of the sto"
284,book_285,book,Acorna's People,Elizabeth Ann Scarborough,"Science Fiction, Speculative fiction, Fantasy","In the book, Acorna has finally been reunited with her people - the Linyaari -and has travelled to the new homeworld of her people Narhii - Vhiliinyar to learn about her lost culture. However, she is distinctly different from her people due to her unusual upbringing, and most are not accepting of her. The only people who really befriend her are her aunt, Neeva and her shipmates, and the oldest Linyaari Grandam Naadiina, as well as the young girl named Maati. All of her friends on the ship Balaki"
285,book_286,book,The Legacy of Vashna,Joe Dever,"Gamebook, Speculative fiction, Children's literature","Long ago, Vashna, the greatest of all Darklords, was defeated in battle by King Ulnar of Sommerlund. But the victory was not complete, for while his body was destroyed, his spirit, as well as the spirits of his troops, remain trapped deep within the Maakengorge. Now, Lone Wolf learns of strange sightings in the area near the Maakengorge, suggesting that there may be a plot afoot to resurrect Vashna. Lone Wolf and the reader set out to uncover the nature of the threat, and to see if, indeed, Vash"
286,book_287,book,Cold Heaven,Brian Moore,Novel,"The plot concerns a lapsed Catholic, Marie Davenport, who is about to leave her husband Alex for her lover, Daniel, when Alex is apparently killed in a boating accident and then seems to have risen from the dead. The novel details Marie's dilemma in confronting this apparent miracle."
287,book_288,book,Outcast of Redwall,Brian Jacques,"Science Fiction, Children's literature, Fantasy","In the howling, snowy north, a young badger is captured and bound by the cruel ferret Swartt Sixclaw and his group of vermin, who torment him mercilessly. When the vermin also capture a kestrel, Skarlath, the two young beasts help each other escape from the vermin camp. In the scuffle that ensues, the badger uses a massive hornbeam limb to severely injure Swartt's sixclawed left paw. The ferret and the badger both vow to extort revenge, each declaring the other to be his mortal enemy. As the you"
288,book_289,book,Indulekha,Oyyarathu Chandumenon,Novel,"Indulekha is a graceful Nair girl with good intelligence, artistic talent. She is a young and educated, knowledgeable woman with education in English and sanskrit, who is in love with another young man, Madhavan, the hero of the novel, who was also presented in ideal colours, a member of newly educated class of nayar class graduated from University of Madras.He dressed in western clothes,but,at the same time,he kept along turf of hair,according to the nayar cusyom. The story details how the matr"
289,book_290,book,Crewel Lye: A Caustic Yarn,Piers Anthony,"Speculative fiction, Fantasy","Princess Ivy, who is now a 5 year old in this book, asks one of Castle Roogna's ghosts to tell her how he became a ghost. Ivy uses her talent of enhancement - and some caustic Crewel Lye to strip off centuries of accrued grime - to improve the range and clarity of Castle Roogna's magical Tapestry. The Tapestry is a woven hanging which allows anyone to view recent or historical events (although it cannot violate the Adult Conspiracy, nor does it include sound). The ghost, known as Jordan the Barb"
290,book_291,book,Silence,Shusaku Endo,Historical fiction,"Young Portuguese Jesuit, Sebastião Rodrigues (based on the historical figure Giuseppe Chiara) is sent to Japan to succor the local Church and investigate reports that his mentor, Fr. Cristóvão Ferreira, has committed apostasy. (Ferreira is a historical figure, who apostatized after torture and later married a Japanese woman and wrote a treatise against Christianity.) Fr. Rodrigues and his companion Fr. Francisco Garrpe arrive in Japan in 1638. There they find the local Christian population drive"
291,book_292,book,The Popularity Papers,Unknown,Unknown,"Two fifth-grade friends, Lydia Goldblatt and Julie Graham-Chang, want to learn how to be popular before entering middle school. The book is their journal, documenting their misadventures to become more popular, as well as their family and school life."
292,book_293,book,Dingo,Octave Mirbeau,"Speculative fiction, Novel","Completed by Mirbeau’s long-time friend Léon Werth, when the author’s ill health prevented him from writing the concluding chapters, Dingo, Mirbeau’s final novel, appeared in completed form with Fasquelle in 1913. An autobiographical fiction, Mirbeau’s tale chronicles the author’s adventures with his pet dog Dingo while simultaneously offering a jaundiced view of country life, in Ponteilles-en-Barcis, a squalid town modeled on the village of Cormeilles-en-Vexin, where Mirbeau had the misfortune "
293,book_294,book,"Gobbolino, the Witch's Cat",Unknown,Children's literature,"Gobbolino is a little black kitten born in a witch's cave high up on Hurricane mountain with one white paw after it was bathed in moonlight, and sparkling blue eyes who was born to be a witch's cat with his pure black twin sister, Sootica. While his sister is quite happy to learn spells and turn mice into toads, Gobbolino longs to be a humble kitchen cat; and he embarks on a great adventure to seek out his heart's desire. First, he tries to be a normal kitchen cat, first at a farm, then an orpha"
294,book_295,book,Expiration Date,Tim Powers,Fantasy,"There are two main protagonists and two main antagonists. The protagonists are Koot Hoomie ""Kootie"" Parganas and Pete ""Teet"" Sullivan. Kootie is an eleven-year old boy and Sullivan is a man in his early 40's. The novel takes place mostly in Los Angeles in the year 1992, and there are references to the United States presidential election. The main antagonists are Sherman Oaks and Loretta deLarava. As in Last Call, the previous novel of Tim Powers' Fault Line series, a prominent theme is the quest"
295,book_296,book,The Wise Man's Fear,Patrick Rothfuss,"Speculative fiction, Heroic fantasy","The book begins with the dawn of a new day in Kote's inn. After breakfast, Kvothe continues his story beginning with the admissions for the next university term. On the day of his interview, Ambrose slips him an alchemical potion which removes the ingester's moral inhibitions. As a result, he has to take his interviews later. To pay for his tuition, Kvothe borrows money from the moneylender Devi. Master Elodin allows Kvothe to join his new class on naming and subsequently convinces Master Lorren"
296,book_297,book,He Knew He Was Right,Anthony Trollope,"Psychology, Fiction","A wealthy young English gentleman, Louis Trevelyan, visits the fictional Mandarin Islands, a distant British possession, and becomes smitten with Emily Rowley, the eldest daughter of the governor, Sir Marmaduke Rowley. The Rowleys accompany Trevelyan to London, where he marries Emily. When the rest of the family goes home, Emily's sister Nora remains behind, under Trevelyan's protection. The marriage is initially a happy one and the couple has a baby boy. Then a seemingly minor matter undermines"
297,book_298,book,Vampirates: Blood Captain,Justin Somper,"Children's literature, Horror","With a cast of unforgettable characters and a pace that never lets up the third Vampirates adventure is Grace and Connor’s most spectacular voyage so far. For Connor these are testing times aboard the Diablo and he finds himself crossing a line from which there is no return. Grace also faces danger as she travels with Lorcan to Sanctuary, a place of healing presided over by Vampirate guru, Mosh Zu."
298,book_299,book,A Connecticut Yankee in King Arthur's Court,Mark Twain,"Science Fiction, Children's literature, Alternate history","The novel is a satirical comedy that looks at 6th-Century England and its medieval culture through the eyes of Hank Morgan, a 19th-century resident of Hartford, Connecticut, who, after a blow to the head, awakens to find himself inexplicably transported back in time to early medieval England at the time of the legendary King Arthur. The fictional Mr. Morgan, who had an image of that time that had been colored over the years by romantic myths, takes on the task of analyzing the problems and shari"
299,book_300,book,Jesus Dynasty,Unknown,Unknown,"By his parents' marriage, Jesus was better placed to be King of Israel than Herod Antipas was. The two contradictory blood lines in the gospels are seen as compatible if one belongs to Mary and the other to Joseph. In such a case Jesus would have united a formidable list of families into his ancestors. Jesus joined John the Baptist's movement - John was a close relative of Jesus - and the two were prepared to bring about an uprising in Judaea, but John's arrest and execution caused Jesus to go u"
300,book_301,book,The Wolves of Willoughby Chase,Joan Aiken,"Alternate history, Speculative fiction, Children's literature","The story is set at Willoughby Chase, the grand but remote home of Sir Willoughby and Lady Green and their daughter Bonnie. Due to Lady Green's ill health, Bonnie's parents are taking a holiday in warmer climates touring the Mediterranean by ship, leaving her in the care of a newly arrived distant fourth cousin, Letitia Slighcarp. Also due to arrive is Bonnie's orphan cousin Sylvia, who lived in London with Sir Willoughby's impoverished but genteel older sister Jane, coming to keep her cousin co"
301,book_302,book,Mr. Monk Goes to the Firehouse,Lee Goldberg,Mystery,"A woman falls asleep while watching TV and a lit cigarette sets her house on fire. Minutes later, at a nearby firehouse, a firefighter is killed and Monk is blinded in a bizarre attack. Monk must use his other senses to find the killer."
302,book_303,book,Providence: The Story of a 50 Year Vision Quest,Daniel Quinn,Non-fiction,"Quinn begins by describing the earliest incarnation of a book like Ishmael back in 1977, which Quinn at the time called Man and Alien. This manuscript was revised over the next several years, resulting in five more incarnations (The Genesis Transcript, The Book of Nahash, The Book of the Damned, and two entitled Another Story to Be In), none of which Quinn could successfully get published. At last, though, Quinn heard of the Turner Tomorrow Fellowship Award, which called for creative solutions t"
303,book_304,book,Midworld,Alan Dean Foster,"Science Fiction, Speculative fiction, Fantasy","Midworld is a planet entirely covered by a rain forest three-quarters of a kilometer (almost half a mile) tall. Born is a member of the primitive society that has lived peacefully on Midworld for hundreds of years, they keep the careful natural balance of the jungle so that all may live. The world is disrupted by the arrival of an exploitative human company from Earth whose representatives know nothing of the delicate stability of the planet. Born helps two of them, one of whom is a female botan"
304,book_305,book,Strip Tease,Carl Hiaasen,"Mystery, Fiction, Suspense","During a late-night bachelor party at The Eager Beaver, a striptease club in Fort Lauderdale Florida, the drunken groom-to-be, Paul Guber, climbs on stage and grabs one of the dancers. Before the club's bouncer can act, Guber is attacked by another customer, swinging a champagne bottle. Chaos ensues, during which the attacker disappears in a hurry, and the groom is hospitalized. The man with the bottle was U.S. Congressman David Lane Dilbeck, an incorrigible (yet secret) patron of strip bars, nu"
305,book_306,book,Concrete Island,J. G. Ballard,"Science Fiction, Speculative fiction, Fiction","A twisted adaptation of Robinson Crusoe, the story's protagonist, Robert Maitland, a wealthy architect, finds himself stranded in a manmade 'island' (a section of fenced-off wasteland in the middle of a motorway intersection) between the Westway and an imagined spur of the M4 Motorway in west London, and is forced to survive on only what is in his crashed Jaguar and what he is able to find."
306,book_307,book,Moonlight Mile,Dennis Lehane,Crime Fiction,"Amanda McCready was four years old when she vanished from a Boston neighborhood in 1997. Desperate pleas for help from the child’s aunt led savvy, tough-nosed investigators Kenzie and Gennaro to take on the case. The pair risked everything to find the young girl — only to orchestrate her return to a neglectful mother and a broken home. Now Amanda is 16 — and gone again. A stellar student, brilliant but aloof, she seemed destined to escape her upbringing. Amanda’s aunt is once again knocking at P"
307,book_308,book,The Brothers Karamazov,Fyodor Dostoyevsky,"Novel, Fiction, Suspense",Book One: A Nice Little Family The opening of the novel introduces the Karamazov family and relates the story of their distant and recent past. The details of Fyodor's two marriages as well as his indifference to the upbringing of his three children is chronicled. The narrator also establishes the widely varying personalities of the three brothers and the circumstances that have led to their return to Fyodor's town. The first book concludes by describing the mysterious religious order of Elders 
308,book_309,book,The Great Pursuit,Tom Sharpe,"Fiction, Humour","Frensic and Futtle is a small and successful literary agency. But following a successful court case by a woman who claimed to have been libeled by one of their authors, the agency rapidly loses business. One day, a manuscript for a book called Pause O Men for the Virgin arrives at the agency, together with a note from the author's solicitor, saying that the author wishes to remain anonymous and that the agency has carte blanche on how it deals with the book. The book turns out to deal with the l"
309,book_310,book,Last of the Curlews,Fred Bodsworth,"Fiction, Novel","The story follows the bird throughout a year during its migration to South America and return to the Canadian Arctic in search of a mate. Although somewhat anthropomorphic in parts, the book paints a realistic and detailed picture of this bird's life and behaviour. The book may have been somewhat premature in that there were confirmed sightings of this bird in 1963 and there were a number of unconfirmed sightings after that date. However, this bird may now be extinct."
310,book_311,book,Sky Pirates of Callisto,Lin Carter,Fantasy,"Jonathan Dark (Jandar), earthman mysteriously transported to the Jovian moon of Callisto (or Thanator), has in concert with the native Ku Thad succeeded in freeing the city of Shondakar from the occupying Black Legion and the opportunistic Zandaharian Sky Pirates. The only fly in the ointment is that Shondakar's rightful ruler, the princess Darloona, has been abducted by the fleeing Prince Thuton of Zandahar. To free her Jandar adopts the wild plan of taking one of the Sky Pirates' own captured "
311,book_312,book,Murder at the Savoy,Per Wahlöö,Crime Fiction,Martin Beck has to search through the high powered business man Viktor Palmgren`s many enemies when the business man is shot in front of a dozen witnesses at a high-end restaurant.
312,book_313,book,The Blue Star,Fletcher Pratt,Fantasy,"The novel is set in a parallel world in which the existence of psychic powers has permitted the development of witchcraft into a science; in contrast, that of the physical sciences has languished, resulting in a modern culture reminiscent of our eighteenth century. Witchcraft is hereditary but the ability to use it can be held by only one member of a family line at a time, being passed from mother to daughter at the daughter's loss of virginity. The daughter's lover then gains possession of her "
313,book_314,book,Blankets,Craig Thompson,"Memoir, Graphic novel","Blankets chronicles Craig Thompson's adolescence and young adulthood, his childhood relationship with his younger brother, and the conflicts he experiences regarding his Christianity and his first love. Though written chronologically, Thompson uses flashbacks as a literary and artistic device in order to parallel young adult experience with past childhood experience. Major themes of the work include: first love, child and adult sexuality, spirituality, sibling relationships, and coming of age. T"
314,book_315,book,Too Many Clients,Rex Stout,"Mystery, Detective fiction, Fiction","A man who identifies himself as Thomas Yeager, head of Continental Plastics, asks Archie to ascertain whether he is being followed when he visits a certain address in one of New York's worst neighborhoods. When the real Yeager's body is found at an excavation site in the vicinity of that address, Archie crosses the threshold and finds a fantastically appointed love nest where Yeager secretly entertained many women. The case becomes more complicated when the daughter of the building superintenden"
315,book_316,book,Sideways,Rex Pickett,Novel,"The novel is the story of two friends, Miles and Jack, who go away together for the last time to steep themselves in everything that makes it good to be young and single. During the week before Jack plans to marry, the pair heads out from Los Angeles to the Santa Ynez wine country."
316,book_317,book,Blood Shot,Sara Paretsky,"Mystery, Fiction","V.I. Warshawski isn't crazy about going back to her old South Chicago neighborhood, but she's never been a woman who breaks a promise. Returning to her old neighborhood for a school reunion, she finds herself agreeing to search for a childhood friend's missing father, a man her friend never knew and about whom her friend's dying mother will not speak. What ought to have been a routine missing-persons case rapidly turns up a homicide; and Warshawski must battle corrupt local politicians and busin"
317,book_318,book,The Ragged Edge of Science,L. Sprague de Camp,Unknown,"The essays in the book fall into three general categories, dealing with ancient civilizations and certain unscientific theories regarding them, occult-related subjects, and pseudoscience in general. Anecdotes from history and de Camp's travels to some of the locales he writes about pepper the narrative. The first eight chapters fall into the first category. Discussions of Bronze Age Troy and the ancient Sudanese civilization of Kush counter romantic speculations with a resume of what is known of"
318,book_319,book,Underground to Canada,Unknown,Unknown,"A young, strong slave girl, Julilly, is sold from a plantation, the Hensen plantation in Virginia and taken to the Riley plantation Mississippi in the Deep South. There she meets Liza, another slave girl. Pursued by their master, the two girls and their friends, Lester and Adam, begin their escape from slavery. They make their way through the United States to Canada on the Underground Railroad with the help of Alexander Milton Ross, a Canadian abolitionist, eventually arriving safely, apart from"
319,book_320,book,World Without End,Joe Haldeman,"Science Fiction, Speculative fiction","Captain Kirk and a landing party of four have gone aboard an alien starship/planetoid. They are in prison, awaiting questioning. Commander Spock is in command, but is unable to do much. Mysterious tentacles have ensnared the ship, draining power. Spock finds himself with little options, remaining on board and eventually crashing to the planetoid surface or beaming inside to join the Captain."
320,book_321,book,King Rat,James Clavell,"Historical fiction, Fiction, War novel","The novel opens in early 1945. Peter Marlowe, a young British RAF Flight Lieutenant, has been a P.O.W. since 1942. Marlowe comes to the attention of the ""King"", an American corporal who has become the most successful trader and black marketeer in Changi, when the King sees him conversing in Malay. Marlowe's language skill, intelligence, honesty, and winning personality cause the King to befriend him and attempt to involve him in black market deals. This, in turn, brings Marlowe to the attention "
321,book_322,book,The Tiger's Daughter,Bharati Mukherjee,Novel,"The story revolves around Tara who was raised in Calcutta, educated at Vassar College in New York and is married to an American man. The novel explores her sense of culture shock when she travels back to India intertwined with the political situation in Calcutta and West Bengal."
322,book_324,book,Revelation Space,Alastair Reynolds,"Hard science fiction, Science Fiction, Speculative fiction","Revelation Space starts off with three seemingly unrelated narrative strands that eventually meet—and merge—as the novel progresses. This plot device is characteristic of many of Reynolds's works. The book opens in the year 2551 on Resurgam, a planet considered a backwater on the edge of colonized human space. Dan Sylveste, an archaeologist, leader of the colony, and wealthy scion of a prominent scientific family, leads a team excavating the remains of the Amarantin, a long-dead, 900,000-year-ol"
323,book_325,book,White Teeth,Zadie Smith,"Fiction, Novel","It's New Year's Day 1975 at the beginning of the novel, and we are introduced to Archie Jones, a 47-year-old man whose disturbed Italian wife has just walked out on him. Archie is attempting to commit suicide by gassing himself in his car, when a chance interruption causes him to change his mind. Filled with a fresh enthusiasm for life, Archie flips a coin and finds his way into the aftermath of a New Year's Eve party. There he meets the much-younger Clara, a Jamaican woman whose mother is a dev"
324,book_326,book,The Scrambled States of America Talent Show,Laurie Keller,Fiction,"New York comes up with the idea of having all the states participate in a talent show. The states eagerly agree and prepare for their acts. However, Georgia has stage fright and is worried how her performance will go."
325,book_327,book,Private Peaceful,Michael Morpurgo,"Novel, War novel, Children's literature","The story is of a young teenager named Thomas ""Tommo"" Peaceful, who tells the story in account format from the past to the present day events of his experiences living in the village of Iddesleigh during World War I. His oldest brother, Big Joe, has learning difficulties and is always looked out for by his younger brothers. The earlier part of the story tells of his doings before the war, the tale of his love for Molly - a beautiful girl he met on his first day at school and grew to love besotte"
326,book_328,book,The Reluctant Widow,Georgette Heyer,"Historical fiction, Fiction, Romance novel","The heroine, Elinor Rochdale, daughter of a ruined gentleman, accepts the role of a governess to sustain herself. Stepping into the wrong carriage at a Sussex village, Elinor finds herself in the wrong house, required by the sensible, sophisticated Edward Carlyon to marry his profligate cousin, Eustace Cheviot. In a somewhat dazed state, Elinor soon finds herself coerced into becoming the wife of a dying man, the mistress of a ruined estate and a partner in a secret conspiracy to save the family"
327,book_329,book,The Book of Sorrows,Unknown,Unknown,"The Book of Sorrows begins almost exactly where the last book ended. The great war is over and Chauntecleer and his animals are all mending the damage that it left. Chauntecleer leads them on a journey to find a new resting place, while the climate slowly changes from summer to autumn. Early in their journey the animals are obligated to care for Russell, the fox, one of the main characters from the last novel, who suffered poisoning from biting into too many basilisks during the conflict. Russel"
328,book_330,book,The Lord of the Rings,Shaun McKenna,Unknown,"The half-Elven maiden Arwen sings the prologue, urging those to whom she sings to trust their instincts (""Prologue"" ('Lasto i lamath')). In the region of Middle-earth known as the Shire, Bilbo Baggins, an eccentric and wealthy Hobbit, celebrates his one hundred and eleventh birthday by vanishing from his birthday party, leaving his greatest treasure, a mysterious magic Ring, to his young relative Frodo Baggins (""Springle Ring"") . The Ring is greatly desired by the Dark Lord Sauron, who could use"
329,book_331,book,Unfamiliar Fishes,Sarah Vowell,Non-fiction,"The book takes a humorous tone and examines the fulfillment of American imperialist manifest destiny at the end of the 19th Century as America annexed Hawaii, Puerto Rico, and Guam, and invaded Cuba, and the Philippines in 1898, in an attempt to become a global power. Vowell then tells the story of the culture clash that ensued following Christian missionaries who then moved in swiftly to try to convert the laid back native Hawaiians to the American way. The title comes from a reference of David"
330,book_332,book,"So Long, and Thanks for All the Fish",Douglas Adams,"Science Fiction, Speculative fiction, Fiction","Arthur Dent has hitch-hiked through the galaxy and is dropped off on a planet in a rainstorm. He realises that he appears to be in England on Earth, even though he saw it destroyed by the Vogons. While he has been gone for several years, it appears only a few months have passed on Earth. He manages to hitch a ride with a man named Russell, who is driving home his sister Fenchurch (Fenny for short). Russell explains that she had become delusional after worldwide mass hysteria over the ""hallucinat"
331,book_333,book,The Adventure of the Blue Carbuncle,Arthur Conan Doyle,"Mystery, Fiction","Watson visits his friend Holmes at Christmas time and finds him contemplating a battered old hat, brought to him by the commissionaire Peterson after it and a Christmas goose had been dropped by a man in a scuffle with some street ruffians. Peterson takes the goose home to eat it, but comes back later with a carbuncle. His wife has found it in the bird's crop (throat). Holmes makes some interesting deductions concerning the owner of the hat from simple observations of its condition, conclusions "
332,book_334,book,The Independent Command,James Doohan,Science Fiction,"In the final novel of the Flight Engineer series, the crew of the Invincible find themselves in a distant, as yet unexplored by humans, section of the galaxy. There, they find the origin of the Fibian allies who have aided the Mollies so well in their war with the Commonwealth. While they work to unravel the mystery of the Fibians, the Commonwealth is near to running out of antihydrogen completely. Successfully gaining the Fibians as an allied species (themselves divided along a sort of grouping"
333,book_335,book,Bel Canto,Ann Patchett,"Thriller, Fiction, Romance novel","Set in an unnamed country, the story begins at a birthday party thrown at the country's vice presidential home. The party is thrown for Katsumi Hosokawa, the visiting chairman of a large Japanese electronics company called Nansei. Performing is a famous American soprano, Roxane Coss. Near the end of the party, members of a terrorist organization break into the house looking for the President. When it is discovered that the President did not attend the party, the terrorist group decides to take t"
334,book_336,book,Ravager of Time,Unknown,Unknown,"In Ravager of Time, the player characters are hired to search a fenland for a lord's son who slew his father, but the character become entangled in the plot of the evil that taints Eylea. The Lord Temporal Rughlor returned from the wider world to settle at Ffenargh Manor, Lorge, with a radiant young wife, Nuala. However, her beauty hid a will for evil and a hunger for the forgotten lore of an ancient wizard buried below Lorge. Rughlor discovered his wife’s evil and destroyed her and himself, and"
335,book_337,book,Paste,Henry James,Unknown,"After the death of her aunt, the protagonist Charlotte and her cousin, her aunt’s stepson Arthur Prime, find a tin of imitation jewelry which includes a string of pearls. Charlotte is immediately fascinated with the pearls, and wonders if they could be a gift from when her aunt was an actress. Arthur disputes this and is insulted at the thought of some gentleman other than his father giving his stepmother such a gift. Charlotte quickly apologizes and agrees that the pearls could be nothing more "
336,book_338,book,Little House in the Big Woods,Laura Ingalls Wilder,"Western, Children's literature, Fiction","Little House in the Big Woods describes the homesteading skills Laura observed and began to practice during her fifth year (see comment on Laura’s age, above). This first volume does not contain the more mature (yet real) themes addressed in later books of the series (danger from Indians and wild animals, serious illness, death, drought, crop destruction). Hard work is the rule, though fun is often made in the midst of it. Laura gathers woodchips, and helps Ma and Pa when they butcher animals. L"
337,book_339,book,Frostbite,David Wellington,Horror,"Frostbite takes place in the remote wilderness of Alberta. The setting is similar to the real world, but where werewolves (and possibly other supernatural phenomena) are rare but known phenomena. The novel opens with Cheyenne ""Chey"" Clarke parachuting into the wilds of Alberta, provisioned with extensive hiking supplies, most of which are immediately lost. Chey is soon attacked by a werewolf (it is indicated to the reader that the creature is obviously not a normal wolf), but survives with only "
338,book_340,book,Your Heart Belongs to Me,Dean Koontz,"Suspense, Psychological novel","The central character, Ryan Perry, is the wealthy founder and owner of an online social networking site, Be2Do. Ryan is dating an author named Samantha, who had interviewed him for a magazine article. Although seemingly in good health and only 34 years old, Ryan begins to have seizures at random times of the day, and decides to seek the assistance of his doctor, Dr. Gupta. He is informed that he has a rare, inherited heart condition (cardiomyopathy) of which there is no cure. Ryan is only given "
339,book_341,book,A Beautiful Blue Death,Charles Finch,"Crime Fiction, Mystery","The novel, set in 1865 London, follows Charles Lenox as he seeks to solve a murder. Lenox is an independently wealthy gentleman who enjoys solving crimes as a hobby, though he generally prefers to pass the cold winter days in his library with a cup of tea, a roaring fire and a good book. He is drawn into a new case when his lifelong friend Lady Jane Grey makes a special request for his help. Prudence Smith, Grey's former housemaid, is dead in an apparent suicide. But Lenox immediately suspects f"
340,book_342,book,Two Hundred Years Together,Aleksandr Solzhenitsyn,Unknown,"In it, Solzhenitsyn emphatically denies that Jews were responsible for the revolutions of 1905 and 1917. At the end of chapter nine, Solzhenitsyn denounces ""the superstitious faith in the historical potency of conspiracies"" that leads some to blame the Russian revolutions on the Jews and to ignore the ""Russian failings that determined our sad historical decline."" Solzhenitsyn criticizes the ""scandalous"" weakness and ""unpardonable inaction"" that prevented the Russian imperial state from adequatel"
341,book_343,book,Personal Recollections of Joan of Arc,Mark Twain,"Fantasy, Children's literature, Historical fiction","The foreword is by fictional author Sieur Louis de Conte, writing from Domrémy, France to his great-great-grand nephews and nieces, in the year 1492. He relates his relationship to Joan as first a childhood friend, and later her page and secretary. He reminisces, “I was with her from the beginning until the end.” Book One begins with the birth of de Conte on January 6th, 1410, in Neufchâteau, France. He relates his early childhood as plagued with misery brought on by the English forces. For over"
342,book_344,book,Father of Lies,Brian Evenson,"Speculative fiction, Novel","Eldon Fochs is a 38-year-old accountant and lay provost. He is happily married with four children. Feshtig works as a therapist in an Institute of Psychoanalysis funded and controlled by the church. Fochs is persuaded to go to Feshtig by his wife, who has a growing suspicion that her husband harbours dark secrets. Fochs slowly reveals the contents of his dreams and his ""disturbing thoughts"" about children to Feshtig. He reveals two dreams; one when he strangles and dismembers a girl and another "
343,book_345,book,The Prometheus Design,Unknown,Science Fiction,"The U.S.S Enterprise arrives to assist the Helvans, who are being plagued with outbreaks of many types of violence. Soon Captain Kirk becomes mentally ill. He is removed from command and Commander Spock takes over, but it is not exactly an improvement. Spock's orders seem to be just as irrational and cruel."
344,book_346,book,Adam Loveday,Kate Tremayne,"Romance novel, Historical novel","The plot centres around the rivalry between Adam and his brother St John. As the younger of the two, Adam knows that when their father dies, the family estate and shipyard that he loves so much will be inherited by his wayward brother. The rivalry between the two men intensifies when Adam falls in love with Meriel Sawle, the beautiful daughter of the local tavern keeper. But St John is determined that Adam will have neither the estate or Meriel. According to genealogical information provided in "
345,book_348,book,The Blue Sword,Robin McKinley,"Children's literature, Fantasy, Speculative fiction","The story introduces Angharad Crewe, usually referred to as Harry, the daughter of a recently deceased nobleman from the Homeland. The orphaned Harry crosses the ocean to join her brother Richard in Istan, the Homeland's remotest colonial town and military outpost in the Royal Province of Daria. Soon after her arrival, the outpost receives a visit from Corlath, king of the native hill-folk who still view the land as their own, the ancient country they have always called Damar. Corlath has come t"
346,book_349,book,The Kill-Off,Jim Thompson,Crime Fiction,"Manduwoc, a small seaside resort town (located ""a few hours train-ride from New York City"" (6)) has been suffering financially from gradual loss of its tourist trade, and morally from gossip spread by Luane Devore about the seedy activities of the town's inhabitants. Before the murder even happens, numerous characters are viewed as potential suspects, notably the psychotic Bobbie Ashton, whose future was ruined when Luane revealed him as the bastard offspring of a mixed-race relation. Also invol"
